;random sample of disease genes;LCC of random disease genes;LCC size of random disease genes
818;[401474, 5095, 55366, 4137, 29089, 3190, 112812, 6558, 5257, 8087, 2720, 160418, 8974, 26173, 931, 65055, 2521, 64421, 7157, 90121, 375307, 54332, 84833, 84300, 64087, 56975, 23432, 23581, 27245, 2737, 2160, 10464, 9200, 7827, 79577, 5664, 6729, 652, 51633, 197322, 59341, 23111, 7062, 85365, 1643, 8567, 57589, 7019, 4750, 7403, 493753, 54487, 23265, 94, 242, 246176, 51649, 27010, 5250, 9772, 6777, 3172, 3814, 23288, 90624, 51750, 11011, 79693, 11117, 57520, 9453, 10093, 5346, 2673, 4705, 57679, 1412, 145226, 26040, 8867, 5573, 26960, 54822, 6165, 84662, 81839, 23065, 56910, 8504];[23432, 5573, 23111];3
819;[4700, 1062, 2746, 57104, 5627, 63976, 55605, 1690, 4761, 2074, 3574, 26153, 51780, 57545, 10112, 55650, 9076, 22861, 6550, 259232, 23746, 6506, 3990, 1244, 1140, 5165, 85016, 84433, 55172, 5346, 84061, 10436, 1576, 400916, 5148, 132158, 6609, 23316, 51008, 29969, 6559, 2036, 22806, 506, 26353, 3476, 4624, 23594, 199223, 124404, 3703, 6010, 4750, 56997, 2317, 5888, 129563, 6487, 4851, 23397, 2312, 9276, 9750, 7482, 6720, 6391, 9681, 6356, 9197, 595, 8912, 10280, 11281, 4092, 128, 10526, 134218, 735, 10892, 27077, 7439, 710, 6165, 10329, 9971, 9851, 59345, 55806, 146057];[4624];1
820;[23451, 3785, 9496, 9179, 83605, 4190, 9742, 5468, 1315, 83483, 5644, 2261, 84146, 7802, 84231, 701, 3781, 9083, 25977, 5832, 8974, 8726, 153241, 9217, 7389, 4157, 3033, 4784, 8831, 7454, 9693, 55294, 197131, 5310, 4851, 8566, 163786, 196, 2617, 1777, 3561, 2132, 1185, 7136, 579, 3419, 4117, 2657, 10765, 1027, 23533, 8028, 80025, 284439, 9829, 3047, 640, 8701, 51776, 10565, 23129, 64359, 920, 171023, 64087, 6007, 27161, 23135, 351, 2563, 1630, 57680, 132884, 2742, 57017, 83480, 4714, 4700, 8471, 5271, 1181, 9354, 9772, 60506, 220, 2671, 54970, 51025, 57538];[9217, 7802, 351];3
821;[55863, 2073, 8443, 283450, 9922, 3718, 7287, 6103, 79882, 3211, 11322, 57817, 55215, 950, 10329, 29920, 7920, 19, 4519, 10584, 10594, 60, 7415, 493753, 63929, 5538, 55193, 92255, 1938, 22868, 10274, 29089, 401474, 22872, 55165, 3110, 7784, 200894, 1316, 7421, 57122, 4214, 2257, 788, 25913, 25930, 25788, 6742, 7169, 6770, 55250, 51703, 54, 10382, 8675, 26011, 53405, 162, 23118, 401024, 2617, 4595, 197322, 28514, 7545, 79583, 4522, 80224, 10654, 57492, 3074, 59344, 6576, 4763, 55249, 6773, 23247, 1981, 54585, 1292, 894, 63924, 4351, 6942, 270, 9325, 204219, 8854, 318];[10594, 19];2
822;[51075, 10046, 10093, 23761, 7473, 6210, 6652, 6795, 8239, 84274, 5216, 4723, 833, 4921, 2271, 9750, 84896, 5244, 317761, 473, 7072, 51569, 3835, 1186, 54914, 7716, 10661, 93426, 537, 640, 2120, 6901, 23095, 23426, 27130, 25914, 547, 2782, 84693, 81027, 498, 5243, 57591, 7167, 7388, 129685, 4158, 9442, 79228, 10716, 7025, 771, 8738, 4481, 16, 8106, 55157, 10367, 2668, 6605, 29078, 2710, 51738, 6356, 5078, 9526, 25871, 1337, 3035, 155, 22871, 1141, 1585, 6887, 85478, 6872, 5575, 3172, 785, 51008, 57165, 56606, 2304, 10398, 4436, 57724, 79827, 51475, 1807];[6210, 547, 23095];3
823;[116442, 1305, 5224, 79876, 60481, 22845, 7750, 144406, 2289, 3054, 4204, 1475, 2582, 4329, 5965, 55250, 4043, 1282, 1380, 11151, 7849, 6097, 652, 55870, 10804, 3476, 8777, 7920, 5245, 79587, 8799, 5770, 1725, 1311, 8910, 55131, 9742, 3914, 23241, 2308, 8204, 3460, 56984, 1291, 8313, 3560, 27341, 124590, 5243, 26580, 4694, 3075, 63894, 4942, 84062, 51085, 5528, 431705, 3952, 22995, 5058, 4157, 374969, 56652, 668, 8632, 57082, 11055, 3155, 2892, 5034, 7486, 6154, 6389, 7319, 318, 51251, 5860, 1857, 51763, 1080, 5795, 8192, 5538, 6499, 4093, 84823, 56172, 84314];[6154, 3914, 5770, 5965, 6389, 84823, 1080, 5245];8
824;[8518, 23387, 3190, 3077, 4714, 6709, 51608, 11078, 5723, 3728, 2593, 7385, 2592, 5566, 5244, 84172, 3074, 114902, 4210, 27034, 7276, 5594, 89876, 84464, 6938, 9512, 55005, 1277, 7991, 51206, 84667, 3145, 714, 29957, 3752, 83700, 7046, 3460, 200931, 4160, 27130, 83706, 3192, 37, 3418, 3798, 3039, 55835, 6662, 7086, 55624, 55617, 10516, 1892, 161497, 4481, 3251, 103, 9149, 1107, 5133, 3675, 56603, 3939, 55084, 84317, 6135, 727, 387733, 152926, 5770, 675, 4747, 2055, 57514, 261734, 8891, 3952, 246213, 167691, 4056, 5333, 79718, 1261, 6999, 3356, 4361, 55193, 6575];[8518, 4747, 7276, 1107, 51608];5
825;[10660, 26038, 11277, 730, 7098, 1794, 5336, 4140, 9851, 8942, 23325, 1816, 9325, 51428, 49855, 5981, 58495, 79734, 1373, 3939, 2903, 6915, 5241, 25913, 8996, 5818, 9757, 343035, 55603, 284439, 84572, 5915, 3848, 29958, 11093, 23102, 593, 10522, 3861, 83636, 375611, 10577, 116085, 727, 7298, 5339, 58497, 2688, 8085, 1893, 161742, 83879, 3739, 55343, 22934, 6134, 63910, 2591, 29927, 7299, 23424, 55703, 1053, 26610, 54928, 26258, 3710, 8120, 4437, 271, 4948, 4131, 124512, 6218, 6578, 2492, 7343, 84300, 2109, 55145, 1303, 3918, 87, 7360, 8091, 51128, 8991, 5784, 64837];[3939, 8996, 161742, 271, 79734, 5336, 25913, 49855];8
826;[8651, 23514, 55172, 529, 30011, 57190, 6102, 254528, 3791, 4635, 6356, 518, 399, 3630, 27102, 2645, 222663, 8200, 23001, 4035, 7140, 8468, 3757, 51126, 1723, 55131, 6773, 649, 55788, 23250, 81689, 9075, 5078, 26040, 1474, 25913, 1441, 89891, 6155, 776, 285590, 6507, 80204, 84947, 84942, 107, 3187, 27010, 11178, 7036, 4729, 4751, 55775, 1742, 132158, 8777, 777, 84733, 8120, 65993, 2192, 6455, 8733, 130589, 80173, 9101, 55165, 7222, 55719, 6662, 80184, 63924, 7474, 55870, 2161, 2581, 55294, 6443, 164, 1559, 580, 7849, 27241, 9987, 4054, 6584, 1947, 2623, 54187];[54187, 6773, 55294];3
827;[80781, 7297, 317662, 4915, 55811, 23418, 410, 4891, 54499, 10345, 5699, 81555, 27249, 2488, 27072, 55165, 7298, 140732, 9871, 57531, 23019, 60, 2741, 6232, 8985, 2296, 84992, 27429, 60529, 10522, 90665, 4982, 147912, 57704, 7545, 64601, 9276, 7508, 3783, 10491, 221927, 4921, 79053, 137492, 57178, 89876, 123606, 26999, 27030, 80726, 171023, 8737, 79876, 285600, 1285, 7283, 83959, 93166, 55182, 8312, 5155, 3476, 8812, 23189, 167691, 81689, 59344, 2064, 3033, 4089, 729359, 5034, 10525, 64087, 4901, 23133, 3998, 4069, 1371, 84947, 6884, 55131, 388552, 1736, 9377, 2232, 2784, 9091, 29998];[4089, 7545, 26999];3
828;[9631, 7428, 80856, 7067, 59067, 27102, 83894, 3590, 5333, 6716, 1291, 29957, 3570, 7124, 5087, 713, 57514, 157855, 217, 11340, 23729, 55714, 84317, 126410, 8905, 123606, 3426, 2626, 65018, 130340, 2187, 8914, 4081, 121214, 25782, 3097, 23534, 29980, 865, 4773, 23363, 3930, 9949, 7086, 1743, 2741, 6144, 79053, 823, 6445, 221421, 1439, 64127, 5162, 3708, 2623, 1476, 4750, 204219, 518, 55739, 146059, 54880, 2200, 8879, 825, 79641, 80308, 3914, 6663, 80232, 23395, 84062, 10274, 51025, 2815, 2906, 152926, 10735, 56916, 39, 6770, 3796, 10641, 57020, 6891, 54585, 63035, 10519];[5162, 3930, 1743];3
829;[8195, 9915, 6330, 8452, 50, 10999, 389434, 5873, 375307, 2222, 60528, 5624, 6336, 92154, 51608, 8036, 5160, 8996, 80208, 4306, 7253, 27161, 24145, 27329, 3664, 84947, 1969, 55252, 91147, 130340, 8653, 56603, 3290, 2475, 84153, 22866, 10654, 80169, 64423, 84628, 5631, 50943, 23224, 10283, 4901, 2773, 3459, 6101, 1053, 346171, 755, 55278, 2895, 2317, 146227, 8991, 9180, 2539, 23586, 51569, 90624, 5898, 5981, 6392, 5832, 23581, 8313, 80232, 5630, 3107, 3651, 1288, 7403, 1181, 59, 336, 2811, 4173, 7428, 5000, 25915, 85300, 57679, 3299, 4158, 1760, 54, 200894, 275];[5160, 9915, 5630, 5631];4
830;[51422, 8912, 8106, 1678, 7042, 25953, 10935, 5002, 8777, 56975, 56683, 23426, 51098, 55250, 2592, 1643, 26115, 140628, 54756, 6887, 55252, 8888, 5664, 388662, 80114, 4878, 6455, 84905, 91039, 778, 26353, 4128, 2760, 4052, 8831, 10686, 1050, 2235, 2584, 270, 124093, 2780, 2533, 63035, 9935, 269, 1950, 2068, 1861, 8942, 4194, 55074, 55135, 54664, 2703, 7030, 1654, 8815, 167691, 2747, 55186, 1638, 5449, 7200, 220136, 860, 526, 23424, 54936, 7019, 11014, 11311, 55788, 5788, 3714, 5083, 27241, 1376, 4040, 27125, 4149, 60481, 8438, 8013, 6469, 34, 6935, 51135, 7498];[25953, 34];2
831;[23534, 114902, 10324, 3106, 7846, 64423, 8660, 440435, 22852, 121391, 3073, 57560, 25782, 1288, 6573, 5631, 25828, 4790, 56896, 2312, 4615, 51300, 5161, 8910, 79581, 91801, 2159, 7783, 4171, 5645, 259266, 83696, 6584, 55788, 157855, 55240, 3612, 5981, 10159, 580, 5321, 84700, 7284, 8890, 773, 148738, 23031, 55703, 80210, 5825, 9338, 3094, 5313, 29893, 3107, 939, 5479, 23221, 3551, 8085, 3162, 25930, 389692, 27030, 84693, 4841, 22858, 1302, 29980, 9380, 714, 860, 1806, 54800, 57863, 84189, 4548, 55656, 50674, 79087, 7020, 4604, 1013, 6141, 79791, 4774, 6550, 1583, 80153];[714, 7020, 4790, 3551];4
832;[2812, 84660, 1180, 116519, 3897, 3181, 203286, 90665, 5645, 10395, 338328, 6347, 5449, 10093, 5594, 57709, 63894, 9722, 8471, 146845, 1280, 8284, 9949, 1185, 130340, 63908, 9653, 9095, 79709, 55714, 9699, 10594, 9373, 54914, 1760, 3909, 57728, 1056, 7137, 1363, 2056, 282809, 7504, 4704, 56171, 84634, 1861, 26053, 7384, 25942, 57094, 10369, 6809, 2160, 9364, 79633, 340061, 6916, 7080, 65055, 25974, 7486, 7109, 7072, 54507, 63035, 6442, 7508, 55691, 57169, 112476, 64857, 487, 5428, 678, 2058, 4860, 79005, 6095, 1741, 9711, 137392, 8547, 4747, 51501, 23479, 10528, 916, 287];[9949, 54507, 79005];3
833;[1910, 10644, 8621, 2735, 161497, 79846, 54970, 540, 55315, 23554, 57498, 204, 169522, 83999, 102, 916, 958, 1373, 9442, 1131, 2263, 8831, 6299, 54756, 3596, 90417, 5257, 2261, 221421, 5718, 51684, 8676, 2752, 6165, 162417, 6888, 2799, 23761, 9907, 3912, 5593, 8882, 3350, 6558, 5557, 498, 1475, 1757, 833, 51204, 2308, 5075, 486, 4000, 81027, 10342, 481, 3559, 84071, 1727, 79966, 23233, 84992, 51317, 167691, 3588, 6509, 63894, 147495, 6714, 84888, 8216, 4654, 124583, 695, 55806, 8443, 652, 6622, 23259, 79813, 11041, 51311, 54888, 22948, 79644, 84300, 51473, 23154];[6714, 102, 2799];3
834;[4597, 3030, 1116, 1280, 4323, 2138, 331, 5859, 7390, 27327, 5352, 4724, 80169, 59341, 2022, 224, 25802, 10457, 10785, 11107, 6301, 90268, 915, 931, 92211, 1161, 83861, 55967, 158401, 6314, 55777, 10095, 286410, 10755, 11078, 23259, 10801, 1786, 22880, 2643, 8974, 9790, 8542, 9150, 57055, 3073, 55280, 3211, 104, 339983, 1041, 9997, 5880, 2048, 10369, 347734, 84265, 375056, 50717, 60676, 55679, 54894, 5873, 26173, 54870, 3350, 4352, 54499, 8425, 5476, 3931, 2819, 6794, 80320, 10522, 23189, 91179, 10459, 6103, 22872, 9149, 7010, 6658, 2625, 5879, 60495, 4329, 1137, 286262];[8425, 6314, 5879];3
835;[6389, 3454, 23258, 2879, 4644, 9439, 5190, 26040, 4835, 2122, 6710, 72, 6795, 25793, 10049, 4540, 1414, 23516, 4547, 93233, 6440, 1376, 51126, 10015, 3514, 351, 146845, 10991, 1182, 7123, 1298, 5826, 10060, 5515, 9095, 10616, 134218, 514, 8471, 10000, 5105, 1593, 2997, 3119, 10126, 8546, 6659, 3746, 4953, 6910, 23019, 55152, 113278, 8754, 594, 4054, 2673, 8287, 1356, 29954, 10878, 5618, 57724, 658, 3064, 22907, 29914, 26999, 5476, 10686, 7086, 2022, 11315, 3290, 116461, 283847, 374393, 6097, 6218, 6628, 668, 5961, 29894, 6418, 8379, 56159, 5978, 55572, 259236];[10049, 8546, 26040, 134218, 5515, 55152, 6097, 6418, 11315, 6710, 3064, 374393, 351];13
836;[54970, 51741, 9839, 9757, 5354, 7128, 57589, 7840, 1121, 1535, 80025, 117156, 55152, 10466, 55191, 4023, 10584, 196385, 158, 100506658, 157680, 8879, 81603, 4222, 7507, 3588, 89765, 1108, 55151, 3753, 5034, 54463, 9662, 5096, 2257, 7508, 1824, 4784, 1788, 6155, 659, 7074, 6477, 3945, 51364, 1778, 5161, 55215, 8864, 2533, 9939, 154288, 3107, 3949, 5476, 29980, 8287, 7109, 64094, 7681, 5193, 3060, 1305, 10083, 3265, 9971, 729359, 5324, 7388, 9997, 4513, 51371, 10011, 79791, 3557, 4001, 23129, 2176, 10220, 735, 359948, 4292, 55315, 54507, 125170, 1589, 3981, 10747, 64857];[7681, 81603, 89765, 54507, 6477, 7128, 51741, 4222, 8287];9
837;[1471, 7293, 79152, 23334, 84823, 4070, 4978, 387700, 4998, 9896, 91869, 148738, 23250, 9759, 6135, 9060, 1303, 9096, 5889, 64421, 7965, 579, 87178, 1634, 185, 6424, 84693, 783, 285590, 81562, 29940, 51284, 3207, 104, 55005, 5582, 10641, 6938, 55697, 9731, 11081, 270, 136647, 79574, 9699, 8241, 84733, 199223, 10716, 729238, 5824, 699, 79755, 7355, 5122, 10585, 80736, 9631, 10165, 8831, 1139, 1760, 2890, 1577, 8022, 57169, 10019, 463, 84833, 51741, 1559, 10283, 6509, 26258, 2801, 249, 2562, 78989, 64376, 6773, 3572, 79583, 1203, 10274, 10659, 189, 4015, 558, 112817];[4998, 9759, 463, 2801, 84823, 9631];6
838;[147138, 6635, 2317, 23558, 343641, 6892, 9474, 1788, 3419, 64699, 10084, 3098, 3553, 5649, 64919, 2703, 2335, 10397, 9948, 22907, 2664, 5422, 29127, 5741, 1182, 5959, 95681, 84172, 149371, 55773, 23287, 4620, 23149, 931, 4919, 131669, 4634, 26090, 54532, 9377, 65078, 8546, 9516, 356, 10907, 2783, 10456, 6508, 3107, 30817, 3032, 23509, 2512, 55037, 80208, 28957, 8915, 4488, 23259, 5293, 50801, 5727, 57534, 3290, 5934, 39, 389692, 283489, 80152, 5015, 27125, 10716, 23043, 64175, 54902, 1080, 1130, 5106, 23746, 6141, 6813, 144811, 5956, 286887, 5698, 23334, 283987, 5048, 7809];[2335, 356, 286887, 6635, 23149, 2317, 10716, 1080, 3098, 22907, 9948, 28957, 2783];13
839;[91137, 63931, 8560, 1200, 4781, 55969, 2318, 2137, 23097, 10262, 85478, 2065, 81, 2556, 7102, 498, 1000, 196385, 169522, 56603, 6532, 6528, 11340, 1756, 7025, 196528, 2582, 285590, 4514, 55209, 10, 63894, 55681, 5660, 126695, 351, 23345, 699, 23288, 973, 117531, 6389, 1586, 10491, 164, 8556, 4625, 695, 54802, 4604, 7827, 491, 60506, 2057, 6890, 1636, 80320, 9698, 55215, 7276, 57152, 5605, 23261, 57647, 7298, 102, 1411, 6911, 64919, 22880, 2668, 3553, 85015, 63925, 54894, 2694, 1308, 6575, 1829, 23443, 1950, 7403, 4163, 6041, 80331, 1759, 1917, 2200, 51475];[5605, 102, 7276, 5660, 351];5
840;[6909, 8914, 64135, 91942, 345611, 8382, 1108, 9217, 158401, 50619, 178, 1837, 7124, 6314, 57057, 2273, 25930, 4849, 6572, 286262, 23556, 55343, 4744, 6785, 1638, 153201, 10058, 7783, 3931, 3757, 735, 2582, 27445, 51692, 4026, 3417, 51715, 2623, 81689, 9622, 6491, 8936, 84617, 57082, 91875, 284439, 3612, 54888, 6307, 10846, 5105, 6601, 1577, 56776, 23746, 1280, 147372, 72, 3717, 775, 114327, 23288, 472, 84172, 126695, 130557, 7454, 23363, 6854, 57505, 79734, 7473, 5649, 220, 2555, 2176, 29926, 10999, 65078, 4595, 6097, 5320, 1116, 7403, 79641, 55733, 55325, 84919, 4597];[9217, 6785];2
841;[4148, 9276, 6576, 259266, 678, 116085, 129880, 1727, 116150, 11014, 25794, 3717, 54822, 22884, 9821, 8869, 6890, 6323, 51013, 2799, 171023, 23247, 652, 6657, 7140, 8516, 2584, 54892, 10483, 1857, 253827, 23396, 93233, 3889, 3911, 353238, 9922, 55775, 10560, 80347, 10464, 85301, 2779, 24140, 710, 55165, 57538, 10664, 29967, 10342, 10750, 658, 84896, 1302, 5213, 1909, 1409, 8910, 399, 10079, 7552, 5311, 5518, 51626, 2556, 9711, 91252, 203286, 3293, 157570, 51271, 6884, 2773, 4056, 4481, 55388, 10054, 5663, 2982, 3741, 7102, 581, 9839, 1137, 8818, 282996, 9702, 79631, 22845];[9922, 6323, 10079, 5663];4
842;[55704, 284382, 8148, 347733, 4040, 410, 51271, 3431, 285590, 5594, 336, 491, 145173, 64780, 5096, 10235, 2009, 7504, 53405, 51085, 57592, 284111, 4868, 9837, 85478, 9681, 1278, 23175, 8289, 3033, 6218, 10466, 23327, 128866, 865, 7174, 8481, 4869, 23562, 54205, 65018, 7508, 23636, 1605, 7050, 25930, 6935, 83480, 1371, 29895, 372, 9853, 80308, 3077, 271, 8450, 1586, 1421, 58528, 27232, 1356, 22845, 8291, 3055, 51109, 10342, 1832, 5034, 10413, 5002, 51633, 283459, 4000, 10804, 1140, 58497, 8823, 2639, 54828, 3315, 4286, 4043, 3145, 51645, 10484, 96459, 3912, 11277, 84100];[4000, 1605, 3912, 3055, 336];5
843;[114798, 5339, 83480, 2742, 51322, 9227, 5979, 10295, 112752, 1053, 22852, 6141, 721, 55252, 950, 1337, 9479, 25930, 83696, 23370, 10369, 5430, 6688, 93587, 6548, 10681, 10319, 5116, 5255, 1639, 8792, 2898, 4634, 10054, 11151, 64857, 774, 3691, 343641, 10749, 27249, 5251, 3791, 91801, 1460, 594, 1859, 7385, 2322, 6777, 144406, 284058, 84529, 4010, 760, 3299, 440193, 83894, 23554, 196, 498, 6708, 220, 3313, 3117, 25886, 1729, 6844, 217, 4092, 286, 8363, 79719, 9508, 55835, 710, 169792, 23152, 183, 5915, 226, 9354, 9987, 2806, 8456, 1453, 4613, 6663, 55036];[23152, 10681, 55835, 1460];4
844;[8243, 54205, 1663, 144811, 6041, 2979, 9095, 81846, 3704, 6597, 2243, 55746, 368, 2535, 5506, 84896, 3295, 387700, 123606, 658, 55367, 4306, 100, 7124, 147138, 23262, 79734, 1654, 118813, 23203, 3782, 91452, 1071, 9782, 343035, 3712, 2059, 55005, 55630, 54802, 144165, 3849, 5826, 8493, 9841, 9871, 8314, 25788, 3778, 79813, 27183, 84634, 8647, 5048, 5133, 5296, 54903, 815, 55599, 2617, 8364, 6476, 70, 55503, 7075, 715, 5825, 7841, 27241, 6868, 85301, 114327, 7125, 54949, 2245, 21, 3981, 55187, 5718, 285600, 92344, 83483, 10654, 4190, 5538, 3561, 9211, 1063, 55215];[55746, 1063];2
845;[51684, 8120, 10625, 7486, 6295, 4617, 115399, 8516, 6884, 805, 4654, 1725, 10388, 10524, 4594, 2672, 55503, 374654, 79734, 286151, 51660, 25871, 2664, 254528, 196385, 23126, 549, 23193, 3912, 55596, 387119, 5518, 5063, 2146, 55187, 440, 140732, 1384, 2775, 4052, 30009, 7026, 6897, 9244, 3035, 1474, 115650, 710, 7355, 22948, 1718, 8405, 84879, 4072, 3321, 7204, 1496, 85301, 6843, 128674, 64135, 55157, 27089, 4190, 8131, 8823, 219736, 201294, 10577, 249, 3710, 23431, 2531, 7040, 79709, 729238, 6301, 4689, 189, 11055, 7450, 51185, 6253, 9394, 10128, 8988, 7284, 3094, 55130];[3912, 1474, 7040];3
846;[5664, 445, 1777, 51308, 781, 54532, 10126, 4750, 55599, 401474, 147007, 5965, 102, 3777, 4695, 9841, 83706, 3199, 7852, 9409, 6528, 54870, 407, 57647, 388753, 60468, 4361, 4761, 3181, 3588, 389692, 5283, 1013, 2296, 6418, 5295, 2213, 11055, 9180, 23165, 23418, 10243, 2893, 1175, 7175, 55164, 5083, 3574, 65109, 10659, 375790, 84617, 5191, 5648, 3709, 54463, 27247, 1277, 25939, 57082, 3872, 64849, 727857, 9049, 2694, 2733, 728294, 57522, 6440, 79577, 3815, 2657, 889, 54499, 79068, 4891, 6092, 81848, 4308, 153241, 27040, 30009, 57410, 26224, 374354, 80736, 83737, 10844, 6708];[5664, 3815, 5295];3
847;[29980, 4487, 9581, 8431, 5340, 90993, 55084, 55655, 79717, 2819, 50945, 8496, 5700, 1508, 83480, 51085, 84868, 219736, 6935, 6007, 50846, 146059, 91452, 150274, 7424, 64094, 114928, 121512, 55521, 27072, 10667, 23594, 3155, 3420, 28957, 25981, 8087, 23013, 200931, 3455, 343035, 5741, 3851, 1380, 54974, 9841, 3176, 2254, 84706, 79991, 4624, 85301, 865, 4864, 540, 84987, 95, 29894, 10528, 253738, 83987, 80153, 84896, 8818, 1029, 221421, 3207, 1630, 8382, 9342, 2203, 51574, 387700, 7737, 5611, 3030, 57055, 1460, 57468, 799, 128869, 1795, 83938, 5373, 63976, 1050, 22983, 9423, 1621];[2203, 1630];2
848;[91754, 5314, 9839, 4292, 9719, 3921, 11274, 57822, 51091, 79770, 29969, 64170, 4617, 10716, 23299, 6897, 5698, 1468, 9056, 8884, 55628, 286, 22897, 6017, 64220, 1781, 9688, 581, 121214, 4512, 4359, 3431, 4233, 4593, 55065, 2010, 169522, 151648, 26249, 84173, 6583, 11141, 9698, 6137, 5256, 81622, 6535, 3135, 222546, 64374, 28514, 9377, 352909, 9681, 112, 931, 282809, 2034, 388698, 23291, 56606, 10660, 1417, 51008, 54870, 2627, 286887, 2651, 5626, 847, 10021, 10463, 54832, 1053, 83544, 4848, 10134, 1294, 6229, 2812, 7015, 91147, 4907, 158401, 79001, 23019, 4867, 10651, 64376];[10660, 54870];2
849;[999, 6660, 8777, 2688, 23126, 6342, 4689, 5873, 2122, 5519, 51621, 3977, 2562, 6886, 22827, 51004, 6598, 9622, 5274, 60675, 713, 6263, 871, 760, 57560, 7048, 286464, 1024, 9663, 5106, 147138, 1414, 54756, 10526, 4539, 611, 10733, 9187, 55621, 57379, 3514, 3187, 10125, 54820, 4846, 7010, 2622, 23067, 58495, 23219, 115650, 54209, 80207, 654, 7280, 85007, 2516, 4281, 55714, 5664, 83932, 3815, 6513, 1855, 1650, 55505, 121512, 53405, 85301, 100128927, 286887, 653361, 29920, 6103, 3459, 56992, 26011, 8546, 7436, 6821, 6134, 6304, 64780, 55315, 2625, 374354, 476, 26146, 151254];[1024, 871, 7048, 999];4
850;[84957, 7498, 25839, 64093, 51703, 27107, 5970, 9841, 9095, 7030, 3814, 6578, 23116, 2161, 122402, 291, 51082, 3029, 10978, 54968, 54756, 347733, 81887, 4438, 375748, 8438, 3043, 249, 9414, 29958, 84300, 1938, 10293, 127534, 5449, 59067, 64218, 28962, 79803, 80204, 10324, 5795, 283459, 55340, 7225, 799, 2657, 6341, 23094, 64902, 23500, 4053, 335, 2561, 4638, 8425, 7516, 22948, 3913, 83480, 5913, 49855, 6531, 27125, 54332, 5589, 6654, 55593, 5000, 9786, 340419, 6095, 1414, 2549, 55157, 80155, 6477, 51227, 83706, 5073, 1462, 11154, 777, 26040, 23404, 55182, 116442, 6499, 445];[54332, 49855];2
851;[8891, 11093, 117156, 7991, 5611, 2067, 8220, 23149, 7545, 123016, 55690, 4342, 55773, 83544, 117531, 29123, 1349, 9211, 493856, 165918, 4174, 6566, 26123, 29127, 1317, 343637, 57731, 633, 79912, 3914, 7092, 3800, 90, 4998, 171023, 25942, 6101, 4935, 10398, 594, 58528, 85021, 8120, 80173, 7299, 9474, 5873, 165, 122402, 3762, 8647, 2335, 6223, 50619, 23384, 2000, 6097, 4915, 4646, 55186, 2978, 7276, 4846, 444, 55775, 286151, 9750, 3135, 490, 55628, 84693, 9414, 9636, 3155, 51729, 10203, 64834, 84679, 1293, 2591, 5914, 8473, 51608, 8013, 7253, 282809, 5062, 3459, 463];[5914, 2335, 171023];3
852;[54413, 7109, 56776, 317719, 5583, 7201, 4724, 25836, 4582, 2774, 966, 8398, 26005, 7750, 25788, 10054, 4967, 80311, 8050, 56910, 84274, 9928, 10616, 5573, 931, 6833, 23387, 84196, 581, 55969, 51025, 9442, 340419, 7343, 2560, 9289, 6263, 2783, 8294, 84617, 3674, 79631, 5318, 23451, 990, 1420, 5345, 3704, 3273, 50, 57468, 5176, 6622, 6729, 4869, 8854, 3514, 51206, 25981, 6872, 7167, 26275, 1108, 5361, 54205, 267, 335, 55812, 3236, 4635, 10083, 157657, 5230, 246243, 144406, 29887, 8869, 147007, 5605, 4621, 3781, 84992, 6506, 9631, 64359, 5034, 1066, 9508, 1298];[2783, 581, 6622, 54205];4
853;[7388, 2074, 1991, 3000, 8936, 5515, 9711, 8813, 133396, 3737, 57539, 50945, 11231, 8312, 9672, 27152, 7174, 7922, 785, 3952, 9842, 6091, 5184, 3039, 1959, 1509, 10133, 10134, 51729, 23746, 5965, 23761, 1134, 2984, 5216, 9364, 776, 7994, 551, 9361, 154881, 919, 7161, 6655, 57338, 182, 95, 55969, 64175, 10716, 128240, 3718, 2055, 4287, 2896, 4038, 4010, 11107, 27040, 7124, 6887, 1789, 29978, 1742, 79581, 9681, 4047, 51181, 9187, 10758, 8893, 10755, 6913, 240, 5745, 490, 6304, 8651, 123016, 55835, 215, 653361, 9516, 5915, 90, 84992, 2623, 2778, 3860];[2778, 29978, 9516, 10133];4
854;[54941, 11020, 81689, 23474, 164, 3419, 6389, 1029, 1947, 1646, 191, 9935, 27072, 26123, 1173, 1282, 3972, 675, 79228, 38, 162, 84978, 1748, 25861, 23594, 51142, 633, 5261, 7123, 157922, 1414, 8200, 953, 5745, 4868, 8720, 1508, 23400, 4023, 25790, 116369, 121278, 84059, 3030, 6638, 6218, 22909, 57592, 5624, 1439, 26057, 197322, 55366, 57822, 8318, 9739, 427, 283847, 1134, 3299, 8777, 84665, 4634, 5538, 1577, 9622, 7407, 4038, 3356, 7517, 8204, 56915, 6729, 10243, 92482, 9414, 4589, 4942, 1896, 84433, 4905, 6323, 22852, 57492, 6094, 124997, 84570, 6913, 79728];[57592, 23594, 1029, 8318];4
